field,value,source_note
Incident date,2023-03-13,Euler Finance
Chain,Ethereum,Euler Finance / incident reports
Exploiter address 1,0xb2698c2d99ad2c302a95a8db26b08d17a77cedd4,Distributed Networks Institute / SolidityScan
Exploiter address 2,0xb66cd966670d962c227b3eaba30a872dbfb995db,Coinbase incident investigation
Related address / frontrunner,0x5f259d0b76665c337c6104145894f4d1d2758b8c,CertiK analysis
Exploit contract 1,0xebc29199c817dc47ba12e3f86102564d640cbf99,Distributed Networks Institute / SolidityScan
Exploit contract 2,0x036cec1a199234fc02f72d29e596a09440825f1c,Distributed Networks Institute
Attack tx,0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d,NomosLabs
Exploit block,16817996,NomosLabs
Estimated loss USD,197000000,NomosLabs / multiple analyses
Loss - DAI USD,8700000,Distributed Networks Institute
Loss - WBTC USD,18500000,Distributed Networks Institute
Loss - stETH USD,135800000,Distributed Networks Institute
Loss - USDC USD,33800000,Distributed Networks Institute
