Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x86ddb10c3200da45f727baf587496977c0bfee6f17b1cfdb333974220abcbe03","Success","Transfer*","18725856","2023-12-06 07:40:59","0x75cde0d5083eacd8bdf1b20d95df2688a84e06a4","","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00120683"
"0xf1a838df385bdb4a1745a1fee96b7b2081d54d7613d4e373b4a63d3f818a61b5","Success","Transfer","16928450","2023-03-28 21:18:35","0x9962ff925e83e8d235fa87d2ecd8785e7cf8c3ee","hausemaster.eth","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0.001 ETH","$2.64","0.00054932"
"0x170969dcc155802f24e96effe79a0c6f68204a862e055afc304a9592ebec8cf1","Success","Transfer*","16895970","2023-03-24 07:47:23","0xd4b4bdec4310d0c5eb2d6951eb949ab4c57cadd2","","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00050735"
"0xf680019522ecf30eeb7a75d3f95d1bda6f86e68f194ecf09506573f5bb858907","Success","Transfer*","16880267","2023-03-22 02:49:59","0xb41c5af5fd73a766666a3f163985f682e868ba19","","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00145283"
"0xad19ef384856b0d946a71b005c1583246bde9abf3405a2a1a0f582163edacb2b","Success","Transfer*","16858805","2023-03-19 02:29:47","0x60dc5bb048310224b8732d732f4a32d16690e470","capitalismisgay.eth","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00047582"
"0xda8e2e464007f7e4d99e1f9ccb3787142360a21b3fd53510998aed065ed125c1","Success","Transfer*","16846934","2023-03-17 10:26:59","0x7e53af93688908d67fc3ddce3f4b033dbc257c20","wallstreetplayboy.eth","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.0007028"
"0x2eff3d872d81cf8a7b4aba471d7b590076512614c13f080f9eb07c7ab88a9548","Success","Transfer*","16845391","2023-03-17 05:15:11","0x115bee88e59c8b8fc029b76dec8ac7d2048de366","zzsummer.eth","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00038456"
"0xd4ee1afeb4a817818ee06521f04fbff3b0a43c23c24d33411f52b0cc3703dd33","Success","Transfer","16845378","2023-03-17 05:12:35","0x115bee88e59c8b8fc029b76dec8ac7d2048de366","zzsummer.eth","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.0003232"
"0x526c89d83a52c544617e3f88fb16e2b1c897b43c4514cbf2c536a455b6de8b86","Success","Transfer*","16845087","2023-03-17 04:13:47","0x3ca26c6dc9bc79936c37d7a56fe463803ddf50b0","","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0.0001 ETH","$0.26","0.00063161"
"0x2c5287ddb15cb1f29bc07b8b300b09d58cfdc3a2833749bd23ae629894e903f0","Success","Transfer*","16844213","2023-03-17 01:17:11","0x115bee88e59c8b8fc029b76dec8ac7d2048de366","zzsummer.eth","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00040455"
"0xec96b83937704d11ee6679032b0c143258a081399303544127cf740983fa75d3","Success","Transfer","16841542","2023-03-16 16:17:47","0x34348745b18542ee5f258171dd7c1ff69bfbcbcf","","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00087016"
"0xae0ada9a85fb7a2f59073fce99a99cbc9be86cfbd6938bd77acdbbf3a3fc4743","Success","Transfer*","16841396","2023-03-16 15:48:23","0xd59bd895e0657e0d8ada3ef4f7267b1f89141573","","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00081784"
"0xcefc4a057d3529e059498b76cfd88ca93105e145c5ce42ef41423107166282c4","Success","Transfer*","16841367","2023-03-16 15:42:35","0x62cfd6cf22bd88d1f0b8b447a3f7e0cca4189d60","","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0.0001 ETH","$0.26","0.0014064"
"0x72cea2a1728ede3dcb15f1ef44b6bfeb07f43079b8a202468b26c5d692802fd4","Success","Transfer*","16841331","2023-03-16 15:35:23","0x56a9a5961d48098e9af5edb6076653e4d5845805","","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00080664"
"0xc8003274c4e04948cc8a087000e394e30ee869db511dd4e0b47d11a5b7481efc","Success","Transfer*","16840069","2023-03-16 11:19:47","0xd59bd895e0657e0d8ada3ef4f7267b1f89141573","","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00056459"
"0x3e00625e369c8f28d5e498fbffa40dfd51d29106b881de21f3a1248220afe5dc","Success","Transfer*","16838685","2023-03-16 06:38:23","0xd59bd895e0657e0d8ada3ef4f7267b1f89141573","","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00046511"
"0xcf95112c84e1d5911c9a8594dd3b5e774d4d36e4b551cb7c6e04ca04344475b5","Success","Transfer*","16838656","2023-03-16 06:32:35","0xd59bd895e0657e0d8ada3ef4f7267b1f89141573","","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00049845"
"0x44b559c86ca8ccac5c16df507516ef19c06042a48cdbd865cb9db4c52d15ea17","Success","Transfer*","16818973","2023-03-13 12:08:35","0x5f259d0b76665c337c6104145894f4d1d2758b8c","Euler Finance Exploiter 3","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.0013604"
"0xdeb4569be5de5a1a81796e8e544cb99203e184f45e4349847baa42894ff6ae0f","Success","Transfer","16818971","2023-03-13 12:08:11","0x16710ce8c36756e59c38f76d3096bc666366d3ab","hoangson.eth","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0.0001 ETH","$0.26","0.00039825"
"0x342839a0d50f246534ffa385e8f3591b75e878984f4b61b5cf3809e447c7c238","Success","Transfer*","16818949","2023-03-13 12:03:35","0x107e44d58c7f3efdc94578d24eee14ae4fb0b0f4","huajiguo.eth","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00041603"
"0xdae809e4a1ddf77c39d44a4acfe6165bedbc19a385c4b241242cc9bd582a80b9","Success","Withdraw","16818823","2023-03-13 11:38:11","0x5f259d0b76665c337c6104145894f4d1d2758b8c","Euler Finance Exploiter 3","0xeBC29199C817Dc47BA12E3F86102564D640CBf99","Euler Exploit Contract 1","0 ETH","$0.00","0.00181645"
"0xbf295a011f0088d8a5cad4b9a15d3acebe3a4b5184f20af5ec69a07384b69a2c","Success","Transfer*","16818540","2023-03-13 10:40:59","0x9154479a94aff551cedb070daa73a45912e2bc5b","rocku.eth","0x5F259D0b76665c337c6104145894F4D1D2758B8c","Euler Finance Exploiter 3","0 ETH","$0.00","0.00055076"
"0x684f82f596f8d211b85893abf85a9e1d9d686bfd5c17131467f93eb782bd1d2d","Success","0x630c8458","16818013","2023-03-13 08:54:23","0x5f259d0b76665c337c6104145894f4d1d2758b8c","Euler Finance Exploiter 3","Contract Creation","","0 ETH","$0.00","0.25754418"
"0xc310a0affe2169d1f6feec1c63dbc7f7c62a887fa48795d327d4d2da2d6b111d","Success","0x863df8af","16817996","2023-03-13 08:50:59","0x5f259d0b76665c337c6104145894f4d1d2758b8c","Euler Finance Exploiter 3","0xeBC29199C817Dc47BA12E3F86102564D640CBf99","Euler Exploit Contract 1","0 ETH","$0.00","0.1107966"
"0x725db76cf4bf3bdc72be4f755ed72df4adbc8e4e803c044617cc11e34907ccdc","Success","0x630c8458","16817994","2023-03-13 08:50:35","0x5f259d0b76665c337c6104145894f4d1d2758b8c","Euler Finance Exploiter 3","Contract Creation","","0 ETH","$0.00","0.23761336"
