Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x7676a6db88b661b3dce884e8981a6d1587736e62fa880e857ad8bee7aa1d3250","Success","Transfer*","21779624","2025-02-05 10:13:35","0xaf6e9cfb6fd0b0d7b70c62ae467401992a9ac8f0","","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0 ETH","$0.00","0.00043015"
"0x9bd59e8c68d4d1a7b561d5128d50c5c52167cc0d07801360ff3434546746f563","Success","Transfer*","20686993","2024-09-05 21:11:47","0xb2698c2d99ad2c302a95a8db26b08d17a77cedd4","Euler Finance Exploiter 1","0x7A2f4D625Fb21F5e51562cE8Dc2E722e12A61d1B","Penpiexyz Exploiter","0 ETH","$0.00","0.00007824"
"0x090bcaca446d6b5aa3d440e0e5ae002c2bb943109ffc05b6db8ee4f5988b4c24","Success","Transfer","20686208","2024-09-05 18:34:23","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter 2","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0.0079 ETH","$20.89","0.00006487"
"0x6675a9549110afe0c17a20c6fef915cd9dab5410c0ad9fbe67673421b842f83c","Success","Transfer","18676991","2023-11-29 11:31:59","0xb2698c2d99ad2c302a95a8db26b08d17a77cedd4","Euler Finance Exploiter 1","0xeBDeaaaa139a8840A60dAc7Ec548e8b4D4FF5DB1","","0.996059289 ETH","$2,633.30","0.00073509"
"0xd2434db80a22daf270d50682eefb45611647d39a5aa6e3632cc8bdf58b78cb97","Success","Transfer","16971576","2023-04-03 22:54:59","0xb2698c2d99ad2c302a95a8db26b08d17a77cedd4","Euler Finance Exploiter 1","0xcAD001c30E96765aC90307669d578219D4fb1DCe","Euler: Multisig 2","8,080 ETH","$21,361,257.60","0.00096985"
"0x979cd8cb01767060cafa172d3bcc9a24fd9ad5b9a852b2c7450379cd39a13d0e","Success","Transfer*","16920027","2023-03-27 16:52:11","0xaa9b2e602297fb6944d73cd1197f51bcb64cb929","","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0 ETH","$0.00","0.00103685"
"0xa0aed579c13873ba2011a95176114b20eb140ff536d7b4a349407b98423a42a7","Success","Transfer*","16880262","2023-03-22 02:48:47","0xb41c5af5fd73a766666a3f163985f682e868ba19","","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0 ETH","$0.00","0.00141314"
"0x2fd6ea52cb3e5800c1c833cc73e56d7ca670cd9a155051a30e9fb0e2e1210164","Success","Transfer*","16879672","2023-03-22 00:49:59","0x4e5c564fe3da52c1f88c6a95163a91d0fdb1898f","Fake_Phishing11681","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0.0090909 ETH","$24.03","0.00049477"
"0x10bf14de5d4c945a01c03f0c36c757062148b7ef8e1bed44a52f622b2ecff430","Success","Transfer*","16878905","2023-03-21 22:14:35","0xacbb76ca617902530927d44cb67410298aa8c33f","","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0 ETH","$0.00","0.00055523"
"0x0ebe5f27c8dad7215256511f5f667dc6618b7432419aa3c0a2585b17fedb7d42","Success","Transfer*","16878570","2023-03-21 21:06:35","0x7a7bd1e509bf24813f6eebd4a8aca7e09fcb0ec9","","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0 ETH","$0.00","0.00044772"
"0x40bb663be320470e653a8c1bff24cedcabce2d25896b6eb9d3e67ef585e7f504","Success","Transfer*","16878088","2023-03-21 19:29:11","0x7a7bd1e509bf24813f6eebd4a8aca7e09fcb0ec9","","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0.0001 ETH","$0.26","0.00064714"
"0x948f3c3cb8b2ef13419453238834ccd825527d3b9f07a721983a75522aa1d902","Success","Transfer*","16876879","2023-03-21 15:23:35","0x1ed1dab540433465c79ae82da0c418d5999e87d8","xmr.eth","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0 ETH","$0.00","0.00108367"
"0xd8ed9481b9d50d87decd0ddf756d5bacea2e4d35b35a8af296aca0decbbd295f","Success","Transfer","16876227","2023-03-21 13:11:23","0x88600328ad679684231eea0c8c9ba06475188888","","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0.0000007 ETH","$0.001851","0.00079714"
"0xde22c7fab33fa32c507e5d1a76a1629ade3e93f504cd84189f3bef99f38d052d","Success","Transfer*","16874445","2023-03-21 07:10:59","0x4d47d0ae9224b414a7f38c2e73569f65c987f848","","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0.00007 ETH","$0.19","0.00050538"
"0xc0e38ebe6ef6137f09557790a57bc6208fd93ed876190d3b43e70c767a61a27c","Success","Transfer*","16873681","2023-03-21 04:36:23","0x4293b5dc11b250078da7359d7d57c15eecfcf70a","jesuswasdead.eth","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0 ETH","$0.00","0.00043526"
"0x91e16ff52f78a0d426458d6584810c26685fe491d2f1adb17bf7958ab316ca89","Success","Transfer*","16873678","2023-03-21 04:35:47","0x4293b5dc11b250078da7359d7d57c15eecfcf70a","jesuswasdead.eth","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0 ETH","$0.00","0.00040063"
