Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x39125ef66a0b9657f67ad703ea62b2de0916cf9b9515581dae2b3011b477dd26","Success","Transfer*","21843436","2025-02-14 08:13:11","0xc80ef88bc2b3bbb5a779eaca78c03349c3fdc369","zackabrams.eth","0xb66cd966670d962C227B3EABA30a872DbFb995db","Euler Finance Exploiter 2","0.0001 ETH","$0.26","0.00003709"
"0x090bcaca446d6b5aa3d440e0e5ae002c2bb943109ffc05b6db8ee4f5988b4c24","Success","Transfer","20686208","2024-09-05 18:34:23","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter 2","0xB2698C2D99aD2c302a95A8DB26B08D17a77cedd4","Euler Finance Exploiter 1","0.0079 ETH","$20.89","0.00006487"
"0x025dc06a90cdd8045351bd48c29730d13c9766aa55e6de7dedabc77c3acb5ee6","Success","Transfer*","20646288","2024-08-31 04:53:11","0xfaadb468c487f549b546f374ed997a614998c8ed","","0xb66cd966670d962C227B3EABA30a872DbFb995db","Euler Finance Exploiter 2","0.000018 ETH","$0.05","0.00001429"
"0xf24f7e0ba7201dcef59f3d96731688b25063f033d97f4acf2d66ea35fc1dfd41","Success","Transfer*","20453375","2024-08-04 06:24:23","0x83f348e6f6124473221c7fbf0c36d1a9be9c5531","","0xb66cd966670d962C227B3EABA30a872DbFb995db","Euler Finance Exploiter 2","0 ETH","$0.00","0.00002567"
"0x28e4937e0f4f9a5b20c5201b9a1c4f099905e040ca55acecbe154ca0d5474e01","Success","Transfer*","20145113","2024-06-22 05:18:59","0x83f348e6f6124473221c7fbf0c36d1a9be9c5531","","0xb66cd966670d962C227B3EABA30a872DbFb995db","Euler Finance Exploiter 2","0 ETH","$0.00","0.00005134"
"0x8217d604d3aa73cd7160d996256387d787f729a08462d555569ec0e878082fd7","Success","Transfer","18779069","2023-12-13 18:36:11","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter 2","0x95363f40195F2163cb5bB2BBA40DA425997D9A96","","0.136 ETH","$359.63","0.00146325"
"0xeca5b793bf06bac281200130f8bb70d040e72d04e1abc929c6f76c556a1b44a1","Success","Multicall","18760311","2023-12-11 03:34:11","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter 2","0x231b0Ee14048e9dCcD1d247744d114a4EB5E8E63","ENS: Public Resolver","0 ETH","$0.00","0.00344523"
"0x07b009cfffe4374655118836dc897203bd1c98d08c725b2b78794b9b6e5cba33","Success","Transfer*","18677086","2023-11-29 11:51:11","0xa04fe68b2ed9389c0595031fb0c830159bda3fa6","hackpro.eth","0xb66cd966670d962C227B3EABA30a872DbFb995db","Euler Finance Exploiter 2","0.00000069 ETH","$0.001825","0.00083811"
"0x8b89f83fa63e0c4fc3823e10c7dbd352fcf1d72702f6271b7d20d4730e825e08","Success","Transfer*","18677051","2023-11-29 11:43:59","0xa04fe68b2ed9389c0595031fb0c830159bda3fa6","hackpro.eth","0xb66cd966670d962C227B3EABA30a872DbFb995db","Euler Finance Exploiter 2","< 0.000000001 ETH","< $0.000001","0.00078798"
"0x763330841953ba968f40618d40e1cb660f43330ccf4366afaa5841c8bd2ff7b0","Success","Transfer","18677010","2023-11-29 11:35:47","0xb66cd966670d962c227b3eaba30a872dbfb995db","Euler Finance Exploiter 2","0xeBDeaaaa139a8840A60dAc7Ec548e8b4D4FF5DB1","","3.8 ETH","$10,048.42","0.0006937"
